Time,hero,shadower,adele,ark
193,4.1628389170967783E12,1.9712958647311743E12,5.218886289093666E12,3.8099013199087114E12
194,4.2241379711401494E12,1.9993541537358745E12,5.2749794899599E12,3.824164277937859E12
195,4.237513165708735E12,2.0532033675141868E12,5.368396543982619E12,3.8384272359670063E12
196,4.252823411265703E12,2.0908978171590054E12,5.400427331138365E12,3.852690193996154E12
197,4.372697116950518E12,2.0165106568865645E12,5.011132999903092E12,3.8669531520253013E12
198,4.418627853621423E12,2.0576889231309507E12,5.067226200769326E12,3.8811216533787593E12
199,4.2246336133042383E12,2.086513709502021E12,5.107292772816637E12,3.862966933040656E12
200,4.2399438588612065E12,1.9712958647311743E12,5.139323559972383E12,3.877229891069803E12
201,4.3598175645460215E12,1.9841061808038003E12,5.124076824253361E12,3.8914928490989507E12
202,4.405748301216926E12,2.0121644698085005E12,5.203924690296621E12,3.905755807128098E12
203,4.194353162941819E12,2.0660136835868127E12,5.260017891162855E12,3.9718754801109014E12
204,4.2077283575104043E12,2.1037081332316313E12,5.31611109202909E12,3.9601743525691133E12
205,4.2230386030673726E12,2.041967547407659E12,5.355320133688073E12,3.9744373105982607E12
206,4.3429123087521875E12,2.0421312890318164E12,5.387350920843819E12,3.988700268627408E12
207,4.3888430454230923E12,2.0833095552762026E12,4.643052880913445E12,4.0029632266565557E12
208,4.1362837259286797E12,2.112134341647273E12,4.69914608177968E12,4.017226184685703E12
209,4.149658920497265E12,1.979722073146816E12,4.755239282645914E12,4.0833458576685063E12
210,4.1649691660542334E12,2.007780362151516E12,4.953385171714146E12,4.065191137330403E12
211,4.2848428717390483E12,2.0616295759298284E12,4.975533903239281E12,4.0794540953595503E12
212,4.330773608409953E12,2.099324025574647E12,5.031627104105516E12,4.0937170533886978E12
213,4.058079416091475E12,2.029157231335033E12,5.067687018948095E12,4.107980011417845E12
214,4.0714546106600605E12,2.0293209729591904E12,5.139836054932087E12,4.1740996844006484E12
215,4.086764856217029E12,2.0704992392035767E12,4.3177254046794985E12,4.1623985568588604E12
216,4.1866596109543745E12,2.099324025574647E12,4.373818605545733E12,4.176661514888008E12
217,4.3065333166391895E12,1.9794071336578936E12,4.752601044461692E12,4.1909244729171553E12
218,4.352464053310094E12,1.9912971998843691E12,4.846018098484411E12,4.2051874309463027E12
219,4.157974170828821E12,2.0173398761599663E12,4.542970698896271E12,4.21945038897545E12
220,4.1713493653974062E12,2.0673207442695325E12,4.599063899762506E12,4.2855700619582534E12
221,4.1866596109543745E12,2.1023073519462288E12,4.65515710062874E12,4.2692406613480356E12
222,4.3065333166391895E12,2.0194939832581462E12,4.687187887784486E12,4.283503619377183E12
223,4.352464053310094E12,2.057714141914765E12,4.403298464230456E12,4.2977665774063306E12
224,4.204591723039582E12,2.084468252974398E12,4.45939166509669E12,4.312029535435478E12
225,4.2179669176081675E12,1.9513835334480962E12,4.479424951120346E12,4.3781492084182812E12
226,4.2332771631651357E12,1.9627074060447397E12,4.538238513608821E12,4.368273400604379E12
227,4.3531508688499507E12,1.9628711476688972E12,4.570269300764567E12,4.3825363586335264E12
228,4.399081605520855E12,1.9876736965027993E12,4.423234107037754E12,4.396799316662674E12
229,4.1432926689962114E12,2.0352745232738147E12,4.479327307903988E12,4.411062274691821E12
230,4.2045917230395825E12,2.0685951020135254E12,4.511358095059734E12,4.425325232720969E12
231,4.2512092752503438E12,2.002467447653366E12,4.051440662208445E12,4.470598475500518E12
232,4.264584469818929E12,1.8656710714959246E12,4.107533863074679E12,4.4542690748903E12
233,4.2798947153758975E12,1.9097152543287898E12,4.1435937779172583E12,4.468532032919447E12
234,4.399768421060712E12,1.9405461823117954E12,4.1756245650730044E12,4.482794990948595E12
235,4.445699157731616E12,1.6910641585155723E12,4.1503264145483237E12,4.497057948977742E12
236,4.265890777082952E12,1.7210752426045938E12,4.190392986595634E12,4.548899854214145E12
237,4.2792659716515376E12,1.7786722429975225E12,4.246486187461868E12,4.508431687760877E12
238,4.294576217208506E12,1.8189901432725725E12,4.3025793883281025E12,4.522694645790024E12
239,4.41444992289332E12,1.7446029830001316E12,4.361392950816578E12,4.536957603819172E12
240,4.460380659564225E12,1.7886471658329968E12,4.446505681360863E12,4.551220561848319E12
241,4.2512092752503413E12,1.8194780938160024E12,3.9887680997589814E12,4.565483519877467E12
242,4.264584469818927E12,1.6881980380243394E12,4.044861300625216E12,4.610756762657016E12
243,4.279894715375895E12,1.7182091221133608E12,4.076892087780962E12,4.600880954843113E12
244,4.39976842106071E12,1.7758061225062896E12,3.8926083268454365E12,4.615143912872261E12
245,4.445699157731614E12,1.8161240227813396E12,3.948701527711671E12,4.629406870901408E12
246,4.143346317029457E12,1.7417368625088987E12,3.980732314867417E12,4.643669828930556E12
247,4.204645371072828E12,1.785781045341764E12,3.9479510256162876E12,4.657932786959703E12
248,4.2512629232835894E12,1.8166119733247695E12,4.0006015177550527E12,4.718415009735507E12
249,4.264638117852175E12,1.6973151451288638E12,4.053252009893818E12,4.647354484642874E12
250,4.279948363409143E12,1.7273262292178853E12,4.108455902016798E12,4.661617442672021E12
251,4.399822069093958E12,1.784923229610814E12,4.13857300698719E12,4.675880400701169E12
252,4.445752805764862E12,1.825241129885864E12,3.9671584441944805E12,4.690143358730316E12
253,4.2512092752503403E12,1.7597635675351597E12,4.0198089363332456E12,4.704406316759464E12
254,4.264584469818926E12,1.7599273091593171E12,4.0536556812795947E12,4.778160253110992E12
255,4.279894715375894E12,1.8039714919921824E12,4.0724594284720107E12,4.79242321114014E12
256,4.399768421060709E12,1.834802419975188E12,4.1601430299155938E12,4.806686169169287E12
257,4.445699157731613E12,1.740827443979394E12,4.190260134885986E12,4.820949127198435E12
258,4.1037218004046294E12,1.7984244443723228E12,4.041142299554854E12,4.835212085227582E12
259,4.1168842174586016E12,1.8387423446473728E12,4.093792791693619E12,4.90896602157911E12
260,4.1319509019981187E12,1.7732647822966685E12,4.1464432838323843E12,4.923228979608258E12
261,4.249917612683175E12,1.7869666681386072E12,4.2341268852759673E12,4.937491937637405E12
262,4.2951176663017266E12,1.7871304097627646E12,4.067291232024955E12,4.951754895666553E12
263,4.1143341177554595E12,1.9470486538677815E12,4.097408336995347E12,4.9660178536957E12
264,4.1274965348094316E12,2.0589914247412935E12,3.833536306929988E12,5.039771790047229E12
265,4.1425632193489487E12,1.9790495474893433E12,3.9084835265303306E12,5.054034748076376E12
266,4.2408688115864956E12,2.0098804754723489E12,3.9611340186690957E12,5.068297706105523E12
267,4.358835522271552E12,1.9444029131216445E12,4.013784510807861E12,5.082560664134671E12
268,4.404035575890104E12,1.9581047989635833E12,4.068988402930841E12,5.096823622163818E12
269,4.159933444164979E12,1.9582685405877407E12,4.099105507901233E12,5.170577558515347E12
270,4.1733747397066855E12,2.005786090395358E12,3.932371911011963E12,5.184840516544494E12
271,4.333507723756465E12,2.0633830907882866E12,3.985022403150728E12,5.199103474573642E12
272,3.883281426226304E12,2.1037009910633367E12,4.037672895289493E12,5.213366432602789E12
273,3.9359225451712397E12,1.980606500747834E12,4.0677900002598853E12,5.227629390631937E12
274,3.9474086148860903E12,1.9807702423719915E12,3.803368334093604E12,5.301383326983465E12
275,4.064565588721778E12,2.0248144252048567E12,3.878315553693947E12,5.315646285012612E12
276,3.808775525639642E12,2.0556453531878623E12,3.915923048078779E12,5.32990924304176E12
277,3.8614166445845776E12,1.977357474764532E12,3.968573540217544E12,5.344172201070907E12
278,3.874373875440276E12,1.9910593606064707E12,4.021224032356309E12,5.358435159100055E12
279,3.7392675025149214E12,2.0210704446954922E12,4.051341137326701E12,5.432189095451583E12
280,3.755396356962208E12,2.078667445088421E12,3.7972583325042646E12,5.44645205348073E12
281,3.7683535878179062E12,2.118985345363471E12,3.84990882464303E12,5.460715011509878E12
282,3.7863405758041826E12,1.995163026902813E12,3.90511271676601E12,5.474977969539025E12
283,3.8007905515602764E12,1.9168751484794827E12,3.935229821736402E12,5.489240927568173E12
284,3.820360922378901E12,1.9305770343214214E12,3.7323846332236167E12,5.562994863919701E12
285,3.83608292008539E12,1.97266078277011E12,3.785035125362382E12,5.577257821948849E12
286,3.8556532909040146E12,2.0021194066841921E12,3.837685617501147E12,5.591520779977996E12
287,3.871375288610504E12,1.8753137618519524E12,3.856489364693563E12,5.605783738007144E12
288,3.8909456594291284E12,1.917397510300641E12,3.886606469663955E12,5.620046696036291E12
289,3.9066676571356177E12,1.9468561342147231E12,3.357166206283219E12,5.693800632387819E12
290,3.926238027954242E12,1.9515453661036328E12,3.432113425883562E12,5.708063590416967E12
291,3.9419600256607314E12,1.9936291145523215E12,3.484763918022327E12,5.722326548446114E12
292,3.961530396479356E12,2.0230877384664036E12,3.5374144101610923E12,5.736589506475262E12
293,3.977252394185845E12,2.0651714869150923E12,3.395404187332713E12,5.750852464504409E12
294,3.9968227650044697E12,2.0946301108291743E12,3.4163088870146265E12,5.8246064008559375E12
295,4.012544762710959E12,2.136713859277863E12,3.4689593791533916E12,5.838869358885085E12
296,4.0321151335295835E12,2.166172483191945E12,3.4990764841237837E12,5.853132316914232E12
297,4.0478371312360728E12,2.1431182203002246E12,3.388355133567937E12,5.86739527494338E12
298,4.0674075020546973E12,2.1725768442143066E12,3.4092598332498506E12,5.881658232972527E12
299,4.0831294997611865E12,2.214660592662995E12,3.4619103253886157E12,5.955412169324056E12
300,4.102699870579811E12,2.244119216577077E12,3.514560817527381E12,5.969675127353203E12
301,4.1184218682863003E12,2.2862029650257656E12,3.569764709650361E12,5.983938085382351E12
302,4.137992239104925E12,2.3156615889398477E12,3.599881814620753E12,5.998201043411498E12
303,4.153714236811414E12,2.357745337388536E12,3.4765693254144517E12,6.0124640014406455E12
304,4.2026401638579756E12,2.387203961302618E12,3.5642529268580347E12,6.086217937792174E12
305,4.218362161564465E12,2.4292877097513066E12,3.4589230427275835E12,6.100480895821321E12
306,4.2672880886110264E12,2.4587463336653887E12,3.479827742409497E12,6.114743853850469E12
307,4.2830100863175156E12,2.3378231084688193E12,3.5007324420914106E12,6.129006811879616E12
308,4.331936013364077E12,2.379906856917508E12,3.5308495470618027E12,6.143269769908764E12
309,4.3476580110705664E12,2.40936548083159E12,3.229769633806346E12,6.217023706260292E12
310,4.396583938117128E12,2.4140547127204995E12,3.25067433348826E12,6.231286664289439E12
311,4.412305935823617E12,2.456138461169188E12,3.2715790331701733E12,6.245549622318587E12
312,4.461231862870179E12,2.48559708508327E12,3.3267829252931533E12,6.259812580347734E12
313,4.476953860576668E12,2.5276808335319585E12,3.406671879412871E12,6.274075538376882E12
