Time,shadower,hero,adele,ark,bishop,archmage_fp
214,2.0293209729591904E12,4.0714546106600605E12,5.139836054932087E12,4.1740996844006484E12,1.4406274254623394E12,4.1177173244923555E12
215,2.0704992392035767E12,4.086764856217029E12,4.3177254046794985E12,4.1623985568588604E12,1.4417705564624375E12,4.1177937420465103E12
216,2.099324025574647E12,4.1866596109543745E12,4.373818605545733E12,4.176661514888008E12,1.376402921622347E12,4.117870159600665E12
217,1.9794071336578936E12,4.3065333166391895E12,4.752601044461692E12,4.1909244729171553E12,1.473569056630686E12,4.1179644287965693E12
218,1.9912971998843691E12,4.352464053310094E12,4.846018098484411E12,4.2051874309463027E12,1.4747121876307842E12,4.1180092144942915E12
219,2.0173398761599663E12,4.157974170828821E12,4.542970698896271E12,4.21945038897545E12,1.4456507637152046E12,4.1180540001920137E12
220,2.0673207442695325E12,4.1713493653974062E12,4.599063899762506E12,4.2855700619582534E12,1.4020461689791155E12,4.118117577091577E12
221,2.1023073519462288E12,4.1866596109543745E12,4.65515710062874E12,4.2692406613480356E12,1.4350313512495996E12,4.1181329232397476E12
222,2.0194939832581462E12,4.3065333166391895E12,4.687187887784486E12,4.283503619377183E12,1.4680165335200837E12,4.118148269387918E12
223,2.057714141914765E12,4.352464053310094E12,4.403298464230456E12,4.2977665774063306E12,1.5669720803315361E12,4.1183675000760674E12
224,2.084468252974398E12,4.204591723039582E12,4.45939166509669E12,4.312029535435478E12,1.6447049883382075E12,4.118458324218301E12
225,1.9513835334480962E12,4.2179669176081675E12,4.479424951120346E12,4.3781492084182812E12,1.3845017486368208E12,4.118665027438556E12
226,1.9627074060447397E12,4.2332771631651357E12,4.538238513608821E12,4.368273400604379E12,1.4830967973952827E12,4.1188717306588115E12
227,1.9628711476688972E12,4.3531508688499507E12,4.570269300764567E12,4.3825363586335264E12,1.485383059395479E12,4.1670913501433936E12
228,1.9876736965027993E12,4.399081605520855E12,4.423234107037754E12,4.396799316662674E12,1.4574647664799976E12,4.1743352788956133E12
229,2.0352745232738147E12,4.1432926689962114E12,4.479327307903988E12,4.411062274691821E12,1.4597510284801938E12,4.1779517511427344E12
230,2.0685951020135254E12,4.2045917230395825E12,4.511358095059734E12,4.425325232720969E12,1.4620372904803901E12,4.182442986969111E12
231,2.002467447653366E12,4.2512092752503438E12,4.051440662208445E12,4.470598475500518E12,1.3956915561426497E12,4.234709399174207E12
232,1.8656710714959246E12,4.264584469818929E12,4.107533863074679E12,4.4542690748903E12,1.4942866049011116E12,3.978185958067642E12
233,1.9097152543287898E12,4.2798947153758975E12,4.1435937779172583E12,4.468532032919447E12,1.4954297359012097E12,3.9782802272635464E12
234,1.9405461823117954E12,4.399768421060712E12,4.1756245650730044E12,4.482794990948595E12,1.4659174977331575E12,3.9783250129612686E12
235,1.6910641585155723E12,4.445699157731616E12,4.1503264145483237E12,4.497057948977742E12,1.4670606287332556E12,3.978388589860832E12
236,1.7210752426045938E12,4.265890777082952E12,4.190392986595634E12,4.548899854214145E12,1.3237593268243745E12,3.9784039360090024E12
237,1.7786722429975225E12,4.2792659716515376E12,4.246486187461868E12,4.508431687760877E12,1.429084923510826E12,3.978623166697152E12
238,1.8189901432725725E12,4.294576217208506E12,4.3025793883281025E12,4.522694645790024E12,1.406178290023559E12,3.9787139908393853E12
239,1.7446029830001316E12,4.41444992289332E12,4.361392950816578E12,4.536957603819172E12,1.2960540749826865E12,3.9789206940596406E12
240,1.7886471658329968E12,4.460380659564225E12,4.446505681360863E12,4.551220561848319E12,1.3413956759551567E12,3.9861646228118604E12
241,1.8194780938160024E12,4.2512092752503413E12,3.9887680997589814E12,4.565483519877467E12,1.386737276927627E12,3.9897810950589814E12
242,1.6881980380243394E12,4.264584469818927E12,4.044861300625216E12,4.610756762657016E12,1.3990780883379504E12,3.994272330885358E12
243,1.7182091221133608E12,4.279894715375895E12,4.076892087780962E12,4.600880954843113E12,1.455755089553538E12,4.046538743090454E12
244,1.7758061225062896E12,4.39976842106071E12,3.8926083268454365E12,4.615143912872261E12,1.5010966905260083E12,3.9089183036770396E12
245,1.8161240227813396E12,4.445699157731614E12,3.948701527711671E12,4.629406870901408E12,1.5464382914984785E12,3.9089947212311943E12
246,1.7417368625088987E12,4.143346317029457E12,3.980732314867417E12,4.643669828930556E12,1.3161358908413726E12,3.9092139519193438E12
247,1.785781045341764E12,4.204645371072828E12,3.9479510256162876E12,4.657932786959703E12,1.3614774918138428E12,3.9164578806715635E12
248,1.8166119733247695E12,4.2512629232835894E12,4.0006015177550527E12,4.718415009735507E12,1.406819092786313E12,3.9200743529186846E12
249,1.6973151451288638E12,4.264638117852175E12,4.053252009893818E12,4.647354484642874E12,1.3421784713313904E12,3.924565588745061E12
250,1.7273262292178853E12,4.279948363409143E12,4.108455902016798E12,4.661617442672021E12,1.3862323244773206E12,3.976832000950157E12
251,1.784923229610814E12,4.399822069093958E12,4.13857300698719E12,4.675880400701169E12,1.3514101386164812E12,3.707228317260856E12
252,1.825241129885864E12,4.445752805764862E12,3.9671584441944805E12,4.690143358730316E12,1.3954639917624114E12,3.7191026789017495E12
253,1.7597635675351597E12,4.2512092752503403E12,4.0198089363332456E12,4.704406316759464E12,1.4395178449083416E12,3.726346607653969E12
254,1.7599273091593171E12,4.264584469818926E12,4.0536556812795947E12,4.778160253110992E12,1.4046956590475022E12,3.726423025208124E12
255,1.8039714919921824E12,4.279894715375894E12,4.0724594284720107E12,4.79242321114014E12,1.4487495121934324E12,3.7265172944040283E12
256,1.834802419975188E12,4.399768421060709E12,4.1601430299155938E12,4.806686169169287E12,1.3818637929352334E12,3.726580871303592E12
257,1.740827443979394E12,4.445699157731613E12,4.190260134885986E12,4.820949127198435E12,1.4369311093676462E12,3.726596217451762E12
258,1.7984244443723228E12,4.1037218004046294E12,4.041142299554854E12,4.835212085227582E12,1.4809849625135764E12,3.7266870415939956E12
259,1.8387423446473728E12,4.1168842174586016E12,4.093792791693619E12,4.90896602157911E12,1.5250388156595066E12,3.726893744814251E12
260,1.7732647822966685E12,4.1319509019981187E12,4.1464432838323843E12,4.923228979608258E12,1.4902166297986672E12,3.775113364298833E12
261,1.7869666681386072E12,4.249917612683175E12,4.2341268852759673E12,4.937491937637405E12,1.5342704829445974E12,3.7823572930510527E12
262,1.7871304097627646E12,4.2951176663017266E12,4.067291232024955E12,4.951754895666553E12,1.5783243360905276E12,3.785973765298174E12
263,1.9470486538677815E12,4.1143341177554595E12,4.097408336995347E12,4.9660178536957E12,1.512395966809065E12,3.7904650011245503E12
264,2.0589914247412935E12,4.1274965348094316E12,3.833536306929988E12,5.039771790047229E12,1.5570791607142227E12,3.983572901976757E12
265,1.9790495474893433E12,4.1425632193489487E12,3.9084835265303306E12,5.054034748076376E12,1.5228863156126108E12,3.8349512074764697E12
266,2.0098804754723489E12,4.2408688115864956E12,3.9611340186690957E12,5.068297706105523E12,1.5675695095177686E12,3.854368573462022E12
267,1.9444029131216445E12,4.358835522271552E12,4.013784510807861E12,5.082560664134671E12,1.6122527034229263E12,3.8616125022142417E12
268,1.9581047989635833E12,4.404035575890104E12,4.068988402930841E12,5.096823622163818E12,1.5780598583213145E12,3.861706771410146E12
269,1.9582685405877407E12,4.159933444164979E12,4.099105507901233E12,5.170577558515347E12,1.6227430522264722E12,3.861751557107868E12
270,2.005786090395358E12,4.1733747397066855E12,3.932371911011963E12,5.184840516544494E12,1.634904662257165E12,3.8618151340074316E12
271,2.0633830907882866E12,4.333507723756465E12,3.985022403150728E12,5.199103474573642E12,1.6907586546386123E12,3.862034364695581E12
272,2.1037009910633367E12,3.883281426226304E12,4.037672895289493E12,5.213366432602789E12,1.6565658095370005E12,3.8621251888378145E12
273,1.980606500747834E12,3.9359225451712397E12,4.0677900002598853E12,5.227629390631937E12,1.7012490034421582E12,3.8657416610849355E12
274,1.9807702423719915E12,3.9474086148860903E12,3.803368334093604E12,5.301383326983465E12,1.745932197347316E12,3.870232896911312E12
275,2.0248144252048567E12,4.064565588721778E12,3.878315553693947E12,5.315646285012612E12,1.664188641680529E12,3.9591148374174097E12
276,2.0556453531878623E12,3.808775525639642E12,3.915923048078779E12,5.32990924304176E12,1.6999351968046553E12,3.525836091906356E12
277,1.977357474764532E12,3.8614166445845776E12,3.968573540217544E12,5.344172201070907E12,1.7356817519287815E12,3.5259303611022603E12
278,1.9910593606064707E12,3.874373875440276E12,4.021224032356309E12,5.358435159100055E12,1.8429214173011602E12,3.5259751467999824E12
279,2.0210704446954922E12,3.7392675025149214E12,4.051341137326701E12,5.432189095451583E12,1.9296242273271086E12,3.526038723699546E12
280,2.078667445088421E12,3.755396356962208E12,3.7972583325042646E12,5.44645205348073E12,1.9308453936655022E12,3.5262579543876953E12
281,2.118985345363471E12,3.7683535878179062E12,3.84990882464303E12,5.460715011509878E12,1.9433625023816875E12,3.5263487785299287E12
282,1.995163026902813E12,3.7863405758041826E12,3.90511271676601E12,5.474977969539025E12,2.051741014914123E12,3.526555481750184E12
283,1.9168751484794827E12,3.8007905515602764E12,3.935229821736402E12,5.489240927568173E12,1.4910965731837002E12,3.5267621849704395E12
284,1.9305770343214214E12,3.820360922378901E12,3.7323846332236167E12,5.562994863919701E12,1.5305399303669573E12,3.5749818044550215E12
285,1.97266078277011E12,3.83608292008539E12,3.785035125362382E12,5.577257821948849E12,1.4299330566757725E12,3.582225733207241E12
286,2.0021194066841921E12,3.8556532909040146E12,3.837685617501147E12,5.591520779977996E12,1.3503762530954646E12,3.5858422054543623E12
287,1.8753137618519524E12,3.871375288610504E12,3.856489364693563E12,5.605783738007144E12,1.2497693794042798E12,3.590333441280739E12
288,1.917397510300641E12,3.8909456594291284E12,3.886606469663955E12,5.620046696036291E12,1.149162505713095E12,3.642599853485835E12
289,1.9468561342147231E12,3.9066676571356177E12,3.357166206283219E12,5.693800632387819E12,1.0643516038423599E12,3.457651140711003E12
290,1.9515453661036328E12,3.926238027954242E12,3.432113425883562E12,5.708063590416967E12,1.103794961025617E12,3.457695926408725E12
291,1.9936291145523215E12,3.9419600256607314E12,3.484763918022327E12,5.722326548446114E12,1.0013000650567491E12,3.4579151570968745E12
292,2.0230877384664036E12,3.961530396479356E12,3.5374144101610923E12,5.736589506475262E12,8.754727605808989E11,3.465159085849094E12
293,2.0651714869150923E12,3.977252394185845E12,3.395404187332713E12,5.750852464504409E12,7.994962881555874E11,3.4687755580962153E12
294,2.0946301108291743E12,3.9968227650044697E12,3.4163088870146265E12,5.8246064008559375E12,8.128862035405916E11,3.473266793922592E12
295,2.136713859277863E12,4.012544762710959E12,3.4689593791533916E12,5.838869358885085E12,8.262761189255957E11,3.525533206127688E12
296,2.166172483191945E12,4.0321151335295835E12,3.4990764841237837E12,5.853132316914232E12,8.66445865080608E11,3.5374075677685815E12
297,2.1431182203002246E12,4.0478371312360728E12,3.388355133567937E12,5.86739527494338E12,8.980005508272137E11,3.5446514965208013E12
298,2.1725768442143066E12,4.0674075020546973E12,3.4092598332498506E12,5.881658232972527E12,6.013738959960885E11,3.544727914074956E12
299,2.214660592662995E12,4.0831294997611865E12,3.4619103253886157E12,5.955412169324056E12,4.3321882190477637E11,3.5448221832708604E12
300,2.244119216577077E12,4.102699870579811E12,3.514560817527381E12,5.969675127353203E12,4.647735076513821E11,3.544885760170424E12
301,2.2862029650257656E12,4.1184218682863003E12,3.569764709650361E12,5.983938085382351E12,4.963281933979878E11,3.544976584312657E12
302,2.3156615889398477E12,4.137992239104925E12,3.599881814620753E12,5.998201043411498E12,5.0088367933756824E11,3.5451832875329126E12
303,2.357745337388536E12,4.153714236811414E12,3.4765693254144517E12,6.0124640014406455E12,5.403270365208253E11,3.5524272162851323E12
304,2.387203961302618E12,4.2026401638579756E12,3.5642529268580347E12,6.086217937792174E12,5.25866462134373E11,3.5560436885322534E12
305,2.4292877097513066E12,4.218362161564465E12,3.4589230427275835E12,6.100480895821321E12,5.238500451241525E11,3.56053492435863E12
306,2.4587463336653887E12,4.2672880886110264E12,3.479827742409497E12,6.114743853850469E12,5.2183362811393207E11,3.612801336563726E12
307,2.3378231084688193E12,4.2830100863175156E12,3.5007324420914106E12,6.129006811879616E12,4.945433222755506E11,3.3765928775942427E12
308,2.379906856917508E12,4.331936013364077E12,3.5308495470618027E12,6.143269769908764E12,5.314661581960321E11,3.38395958479989E12
309,2.40936548083159E12,4.3476580110705664E12,3.229769633806346E12,6.217023706260292E12,5.294497411858116E11,3.3840043704976123E12
310,2.4140547127204995E12,4.396583938117128E12,3.25067433348826E12,6.231286664289439E12,5.149891667993592E11,3.3842236011857617E12
311,2.456138461169188E12,4.412305935823617E12,3.2715790331701733E12,6.245549622318587E12,5.055980909717138E11,3.384314425327995E12
312,2.48559708508327E12,4.461231862870179E12,3.3267829252931533E12,6.259812580347734E12,5.243994944546619E11,3.433351326498757E12
313,2.5276808335319585E12,4.476953860576668E12,3.406671879412871E12,6.274075538376882E12,5.36933763443294E11,3.4407180337044043E12
314,2.5571394574460405E12,4.530952804405089E12,3.28335939020657E12,6.34782947472841E12,5.494680324319261E11,3.444395802091307E12
315,2.599223205894729E12,4.2908858655869336E12,3.320966884591402E12,6.362092432757558E12,5.870708393978223E11,3.4489631605588086E12
316,2.628681829808811E12,4.3088855135297407E12,3.339770631783818E12,6.376355390786705E12,4.9094718519082245E11,3.5021154441572114E12
317,2.666890180002202E12,4.398106889530891E12,3.5257553574476987E12,6.390618348815853E12,5.209335465961455E11,2.334233470271022E12
318,2.696348803916284E12,4.208413716830075E12,3.378688203064372E12,6.404881306845E12,5.1147655081821155E11,2.3343277394669263E12
319,2.7403929867491494E12,4.258679137219555E12,3.3995929027462856E12,6.478635243196528E12,5.344550620670499E11,2.3343725251646484E12
320,2.7712239147321553E12,4.2731009535933853E12,3.4673138064072017E12,6.492898201225676E12,5.794346041750345E11,2.334436102064212E12
321,2.700874294181036E12,4.3246378956524365E12,3.22264930511787E12,6.507161159254823E12,5.77866279833752E11,2.3346428052844673E12
322,2.701038035805194E12,4.030252302566855E12,3.578184049337678E12,6.521424117283971E12,5.638537981162375E11,2.3420095124901147E12
323,2.763561127657322E12,4.0990157004475293E12,3.6083011543080703E12,6.535687075313118E12,5.643018907851754E11,2.3456872808770176E12
324,2.8211581280502505E12,4.1147376981540186E12,3.3534536711597134E12,6.609441011664646E12,5.647499834541133E11,2.350254639344519E12
325,2.8614760283253003E12,4.1327373460968257E12,3.4086575632826934E12,6.623703969693794E12,5.651980761230511E11,2.546635555465407E12
326,2.9055202111581655E12,4.250159571008573E12,3.4963411647262764E12,6.637966927722941E12,5.785440572897897E11,1.9771902605145337E12
327,2.9363511391411714E12,4.304158514836994E12,3.5264582696966685E12,6.652229885752089E12,6.235235993977743E11,1.977284529710438E12
328,2.7333863019441426E12,4.0892894445694736E12,3.2760766284214673E12,6.666492843781236E12,6.239716920667122E11,1.9773481066100012E12
329,2.7335500435683003E12,4.1010298974022417E12,3.296981328103381E12,6.740246780132765E12,6.2441978473565E11,1.9775673372981506E12
330,2.763561127657322E12,4.114471192943948E12,3.3178860277852944E12,6.754509738161912E12,5.834259017023542E11,1.977658161440384E12
331,2.8211581280502505E12,4.154795079569068E12,3.3480031327556865E12,6.76877269619106E12,5.961503143346245E11,1.9778648646606392E12
332,2.8614760283253003E12,3.967494611870979E12,3.3655532968019414E12,6.783035654220207E12,6.088747269668948E11,1.9815426330475422E12
333,2.9055202111581655E12,4.008414478128103E12,3.386457996483855E12,6.7972986122493545E12,6.470479648637057E11,1.9861099915150435E12
334,2.9363511391411714E12,4.020154930960871E12,3.416575101454247E12,6.871052548600883E12,6.201084134330413E11,2.076498405589041E12
335,2.7333863019441426E12,4.0335962265025776E12,3.3516845594758623E12,6.88531550663003E12,6.321552924056711E11,1.831174766409653E12
336,2.7335500435683003E12,4.0739201131276973E12,3.369561614606635E12,6.899578464659178E12,6.418156440217833E11,1.8385414736153003E12
337,2.763561127657322E12,3.771512702663435E12,3.4167702824149336E12,6.913841422688325E12,6.418156440217833E11,1.8386178911694553E12
338,2.8211581280502505E12,3.812432568920559E12,3.4425255027303335E12,6.928104380717473E12,6.418156440217833E11,1.8387121603653596E12
339,2.8614760283253003E12,3.824173021753327E12,3.174414497315361E12,7.001858317069001E12,5.722892663236777E11,1.8387757372649229E12
340,2.9055202111581655E12,3.8376143172950337E12,3.2385070505249443E12,7.016121275098148E12,5.722892663236777E11,1.8389949679530723E12
341,2.9363511391411714E12,3.8779382039201533E12,3.254587435813366E12,7.030384233127296E12,5.722892663236777E11,1.8390857920953057E12
342,2.728697070055233E12,3.6759562343894546E12,3.2724644909441387E12,7.044647191156443E12,5.968361019137987E11,1.8392924953155608E12
343,2.7423989558971714E12,3.7168761006465786E12,3.3474488055204336E12,7.058910149185591E12,6.418156440217833E11,1.846659202521208E12
344,2.742562697521329E12,3.7286165534793467E12,2.9439659445494316E12,7.132664085537119E12,6.418156440217833E11,1.850336970908111E12
345,2.7725737816103506E12,3.742057849021053E12,2.961842999680204E12,7.146927043566267E12,6.418156440217833E11,1.8549043293756123E12
346,2.8301707820032793E12,3.782381735646173E12,2.9797200548109766E12,7.161190001595414E12,5.722892663236777E11,1.9080566129740151E12
347,2.870488682278329E12,3.595081267948084E12,3.0054752751263765E12,7.175452959624562E12,5.722892663236777E11,1.7791811266191929E12
348,2.9145328651111943E12,3.606821720780852E12,2.807564925896424E12,7.189715917653709E12,5.968361019137987E11,1.7989276005028054E12
349,2.9453637930942E12,3.6202630163225586E12,2.8716574791060073E12,7.263469854005237E12,6.159227208622041E11,1.8062943077084526E12
350,2.531711165892575E12,3.660586902947678E12,2.9038182496828516E12,7.277732812034385E12,6.286471334944744E11,1.8063390934061746E12
351,2.5454130517345137E12,3.358179492483416E12,2.921695304813624E12,7.291995770063532E12,6.413715461267446E11,1.806558324094324E12
352,2.5455767933586714E12,3.369919945316184E12,2.968903972621923E12,7.30625872809268E12,6.795447840235555E11,1.8066491482365574E12
353,2.575587877447693E12,3.3833612408578906E12,2.9946591929373228E12,7.320521686121827E12,5.666045936671829E11,1.8140158554422046E12
354,2.6331848778406216E12,3.4236851274830103E12,2.840764247581502E12,7.365794928901376E12,5.666045936671829E11,1.8176936238291077E12
355,2.6735027781156714E12,3.2363846597849214E12,2.8586413027122744E12,7.355919121087474E12,5.666045936671829E11,1.822260982296609E12
356,2.68720466395761E12,3.2481251126176895E12,2.8843965230276743E12,7.370182079116621E12,5.911514292573038E11,1.8754132658950117E12
357,2.731248846790475E12,3.261566408159396E12,2.75069070831313E12,7.384445037145769E12,6.361309713652885E11,1.8754896834491667E12
358,2.762079774773481E12,3.3018902947845156E12,2.7685677634439023E12,7.398707995174916E12,6.361309713652885E11,1.875583952645071E12
359,2.6918938958465195E12,3.061910995574419E12,2.7943229837593022E12,7.412970953204063E12,6.361309713652885E11,1.875628738342793E12
360,2.6920576374706772E12,3.0753522911161255E12,2.7338385404959014E12,7.495944131599533E12,6.361309713652885E11,1.8756923152423562E12
361,2.7220687215596987E12,3.115676177741245E12,2.751715595626674E12,7.510207089628681E12,5.666045936671829E11,1.8758990184626113E12
362,2.7796657219526274E12,2.8194578004547793E12,2.7695926507574463E12,7.524470047657828E12,5.666045936671829E11,1.8832657256682585E12
363,2.8199836222276772E12,2.8311982532875474E12,2.816801318565745E12,7.538733005686976E12,5.911514292573038E11,1.8869434940551616E12
364,2.669698198239014E12,2.844639548829254E12,2.842556538881145E12,7.552995963716123E12,6.361309713652885E11,1.8915108525226628E12
365,2.7137423810718794E12,2.9323249765230913E12,2.955777888042703E12,7.599785051678022E12,4.460978388005892E11,1.9446631361210657E12
366,2.7445733090548853E12,2.972648863148211E12,2.6950592077049443E12,6.519176691486334E12,4.724834067255135E11,1.913041477672726E12
367,2.6605218026618276E12,2.787386857028349E12,2.6505634597890312E12,6.542224796596187E12,4.9359186106545294E11,1.9131357468686304E12
368,2.674223688503766E12,2.841193824022295E12,2.666643845077453E12,6.556487754625334E12,5.147003154053924E11,1.9131993237681936E12
369,2.674387430127924E12,2.852934276855063E12,2.692399065392853E12,6.570750712654481E12,5.780256784252108E11,1.913418554456343E12
370,2.7043985142169453E12,2.8663755723967695E12,2.59273400926659E12,6.585013670683629E12,6.293023564283134E11,1.9135093785985764E12
371,2.761995514609874E12,2.906699459021889E12,2.6184892295819897E12,6.599276628712776E12,6.805790344314159E11,1.9137160818188315E12
372,2.802313414884924E12,2.918439911854657E12,2.4307323175847056E12,6.613539586741924E12,7.018693510291953E11,1.9210827890244788E12
373,2.6606855442859854E12,2.931881207396364E12,2.49905088990907E12,6.627802544771071E12,7.231596676269747E11,1.9247605574113818E12
374,2.7047297271188506E12,2.9722050940214834E12,2.299842776195611E12,6.642065502800219E12,7.005760161566304E11,1.929327915878883E12
375,2.7355606551018564E12,2.844675377044198E12,2.374827090771906E12,6.656328460829366E12,7.646718636605084E11,1.982480199477286E12
376,2.7355606551018564E12,2.8564158298769663E12,2.28030514734969E12,6.701601703608915E12,7.164358025601823E11,1.8394267699007036E12
377,2.765571739190878E12,2.869857125418673E12,2.30606036766509E12,6.7158646616380625E12,7.377261191579617E11,1.8395031874548586E12
378,2.8231687395838066E12,2.989608786299618E12,1.9635963720025598E12,6.73012761966721E12,7.590164357557411E11,1.8395479731525806E12
379,2.8634866398588564E12,2.924010641327619E12,1.9957571425794038E12,6.744390577696357E12,7.803067523535205E11,1.83976720384073E12
380,2.7782423816541475E12,2.977817608321565E12,2.0429658103877026E12,6.758653535725505E12,7.578529729872986E11,1.8471339110463772E12
381,2.9381606257591646E12,2.989558061154333E12,2.1179501249639976E12,6.805442623687404E12,8.230733090438763E11,1.8508116794332803E12
382,3.0501033966326763E12,3.0281416214552485E12,2.1437053452793975E12,6.826159174512867E12,8.452632164838154E11,1.8553790379007815E12
383,2.687702302929914E12,2.2058979713772563E12,1.964804406663056E12,6.840422132542015E12,7.979267462256489E11,2.0517599540216694E12
384,2.7317464857627793E12,2.214168292822408E12,1.9905596269784558E12,6.854685090571162E12,8.501030150709111E11,1.984007108841899E12
385,2.762577413745785E12,2.249681103803658E12,1.9160913182005083E12,6.86894804860031E12,9.022792839161733E11,1.9960827308495874E12
386,2.3331594379450044E12,2.1741171014473596E12,1.980183871410092E12,6.883211006629457E12,9.098118659552744E11,2.0034494380552346E12
387,2.333323179569162E12,2.210148553157477E12,1.9962642566985142E12,6.928484249409006E12,9.374874634304623E11,2.0231959119388472E12
388,2.3808407293767793E12,2.221889005990245E12,2.022019477013914E12,6.949200800234469E12,9.596279414106125E11,2.0305626191444944E12
389,2.438437729769708E12,2.2353303015319517E12,1.9684558679178804E12,6.963463758263616E12,9.817684193907628E11,2.0306390366986494E12
390,2.478755630044758E12,2.2756541881570713E12,2.032548421127464E12,6.977726716292764E12,1.0481898533312137E12,2.0307333058945537E12
391,2.2332975849734404E12,2.093386971815273E12,2.079757088935763E12,6.991989674321911E12,1.1003661221764758E12,2.030796882794117E12
392,2.2641285129564463E12,2.1471939388092188E12,2.1055123092511628E12,7.006252632351059E12,9.62156404042866E11,2.0308877069363503E12
393,2.103526778812182E12,2.188113805066343E12,2.0118026704684468E12,7.058094537587461E12,9.630559948850256E11,2.0310944101566055E12
394,2.1036905204363394E12,2.199854257899111E12,2.0375578907838467E12,7.02708425283706E12,9.193118989210242E11,2.0347721785435085E12
395,2.1337016045253608E12,2.2132955534408174E12,1.9136077761858303E12,7.041347210866207E12,9.845322349776019E11,2.0393395370110098E12
396,2.1912986049182896E12,2.253619440065937E12,1.9393629965012302E12,7.0556101688953545E12,9.854318258197616E11,2.1297279510850073E12
397,2.2316165051933394E12,1.9914009884622798E12,1.9100539741300576E12,7.069873126924502E12,9.670091280683267E11,1.751273098042637E12
398,2.200785577210334E12,2.0048422840039863E12,2.0691023816540054E12,7.205962338851121E12,9.68808309752646E11,1.751349515596792E12
399,2.23161650519334E12,2.092527711697824E12,1.9249125854589087E12,7.25123558163067E12,9.706074914369653E11,1.7514437847926963E12
400,2.103526778812182E12,2.1328515983229436E12,2.167445614735692E12,6.926677389055787E12,9.269932675770863E11,1.7514885704904182E12
401,2.1036905204363394E12,2.0802330640601711E12,2.242429929311987E12,6.940940347084935E12,9.933380921863636E11,1.7515333561881401E12
402,2.1337016045253608E12,2.1211529303172954E12,2.1604603209716309E12,6.955203305114082E12,9.95137273870683E11,1.7515969330877034E12
403,2.1912986049182896E12,2.1328933831500632E12,2.019810539953648E12,6.9694662631432295E12,9.754602154624259E11,1.7518161637758528E12
404,2.2316165051933394E12,2.1463346786917698E12,2.03589092524207E12,7.059002185247426E12,9.763598063045856E11,1.7519069879180862E12
405,2.200785577210334E12,2.1866585653168894E12,2.083099593050369E12,7.000042328281903E12,9.772593971467452E11,1.7521136911383413E12
406,2.23161650519334E12,2.0264788233706174E12,2.1088548133657688E12,7.014305286311051E12,9.327455824447065E11,1.759603176797416E12
407,2.103526778812182E12,2.0673986896277417E12,1.9956334642042107E12,7.028568244340198E12,9.990904070539839E11,1.7633422413241008E12
408,2.1172286646541206E12,2.0791391424605095E12,1.9154605257062048E12,7.042831202369346E12,9.61903766528739E11,1.7679857224327273E12
409,2.117392406278278E12,2.092580438002216E12,1.8905660524896938E12,7.146547675363683E12,9.844259768878574E11,1.8220238774244368E12
410,2.1474034903672996E12,2.1329043246273357E12,1.9377747202979927E12,6.690387820049134E12,1.0069481872469758E12,1.6625580659399683E12
411,2.205000490760228E12,2.0802330640601711E12,1.9635299406133926E12,6.704650778078281E12,1.074514818324331E12,1.6626216428395315E12
412,2.245318391035278E12,2.091973516892939E12,1.846127174681972E12,6.718913736107429E12,1.127590678011753E12,1.662840873527681E12
413,2.1751325121083167E12,2.1054148124346455E12,1.9211114892582668E12,6.733176694136576E12,9.910118723201328E11,1.663047576747936E12
414,2.2191766949411816E12,2.1457386990597651E12,1.9894300615826309E12,6.778449936916125E12,9.928110540044521E11,1.6705370624070107E12
415,2.2500076229241875E12,2.0393131978030469E12,1.882399470401544E12,6.612619437107081E12,9.484271114065359E11,1.6742761269336956E12
416,2.11722866465412E12,2.0510536506358147E12,1.9081546907169438E12,6.626882395136229E12,1.0158964245685128E12,1.678919608042322E12
417,2.1173924062782776E12,2.0644949461775212E12,1.8821813890356252E12,6.641145353165376E12,9.971189570024154E11,1.7329577630340315E12
418,2.147403490367299E12,2.1048188328026409E12,1.9137620121006787E12,6.655408311194523E12,9.989181386867347E11,1.7330341805881865E12
419,2.2050004907602275E12,1.9855589571134932E12,1.944777141915256E12,7.021522386167875E12,9.998177295288944E11,1.7330789662859084E12
420,2.2453183910352773E12,1.997299409946261E12,1.9701686906644966E12,7.066795628947424E12,9.545341960888185E11,1.7332981969740579E12
421,2.1751325121083162E12,2.0107407054879675E12,1.7407574424146836E12,7.081058586976571E12,1.0220035092507954E12,1.7407876826331326E12
422,2.188834397950255E12,2.0510645921130872E12,1.7566041690967642E12,7.095321545005719E12,9.580708099730402E11,1.7445267471598174E12
423,2.23287858078312E12,2.0393131978030469E12,1.7819957178460046E12,7.109584503034866E12,9.681453894477858E11,1.7491702282684438E12
424,2.263709508766126E12,2.0510536506358147E12,1.756022416164686E12,7.123847461064014E12,9.782199689225314E11,1.8032083832601533E12
425,2.1309305504960586E12,2.0644949461775212E12,1.8033933507622664E12,7.184329683839817E12,9.344129583158752E11,1.6978946658179666E12
426,2.131094292120216E12,2.1048188328026409E12,1.877288093781219E12,6.936820794975595E12,9.769815182874022E11,1.704926358955093E12
427,2.1611053762092375E12,1.997246683641869E12,1.770051446772301E12,6.950282739726811E12,1.0110363662646238E12,1.705002776509248E12
428,2.218702376602166E12,2.0106879791835754E12,1.793624637690745E12,6.963744684478026E12,9.920153545544235E11,1.7050970457051523E12
