Time,shadower,hero,adele,ark,bishop,archmage_fp
25,9.785067853273673E11,6.311544531582019E11,7.158330007832905E11,4.8092946909018134E11,1.1113853992405198E12,2.2886590693607227E11
26,1.0357199041903259E12,6.454197449695948E11,8.309309425096127E11,4.829223006814691E11,1.1458796102602532E12,2.3586427878143723E11
27,1.075769087394397E12,6.631768427504717E11,8.513091672785524E11,4.849151322727569E11,1.1803738212799866E12,2.428626506268022E11
28,1.1329822062573555E12,6.774421345618646E11,8.716873920474921E11,4.869079638640447E11,1.21486803229972E12,2.4986102247216714E11
29,1.1730313894614265E12,6.951992323427415E11,9.124489070198384E11,5.193256422312957E11,1.2493622433194534E12,2.568593943175321E11
30,1.230244508324385E12,7.094645241541344E11,9.351877686779655E11,5.213184738225835E11,1.2838564543391868E12,2.6385776616289706E11
31,1.270293691528456E12,7.272216219350112E11,9.922467980309966E11,5.537361521898346E11,1.3183506653589202E12,2.7085613800826202E11
32,1.3155326328834028E12,7.414869137464042E11,1.0493058273840277E12,5.557289837811224E11,1.3528448763786536E12,2.7785450985362695E11
33,1.3156963745075603E12,7.59244011527281E11,1.2070361167384656E12,5.881466621483735E11,1.387339087398387E12,3.103901045986719E11
34,1.3729094933705188E12,7.73509303338674E11,1.2282989415933599E12,5.901394937396614E11,1.4218332984181204E12,3.3970145121582947E11
35,1.4129586765745898E12,8.179020477908662E11,1.2495617664482542E12,6.225571721069125E11,1.5400991647714917E12,3.6901279783298706E11
36,1.4701717954375483E12,8.321673396022592E11,1.2708245913031484E12,6.245500036982003E11,1.5918404813010918E12,3.725066778005449E11
37,1.5102209786416194E12,8.765600840544514E11,1.294463122678425E12,6.569676820654514E11,1.6263346923208252E12,3.768456683446712E11
38,1.567434097504578E12,8.908253758658444E11,1.3181016540537017E12,6.589605136567393E11,1.6614236311167607E12,4.834069947515187E11
39,1.607483280708649E12,9.352181203180366E11,1.3776375636474053E12,6.913781920239904E11,1.6965125699126963E12,5.132325755198545E11
40,1.6138583207496584E12,9.494834121294296E11,1.437173473241109E12,6.933710236152782E11,1.7316015087086318E12,5.430581562881903E11
41,1.671071439612617E12,9.938761565816218E11,1.5137506415481777E12,7.257887019825293E11,1.7666904475045674E12,5.728837370565261E11
42,1.711120622816688E12,1.0081414483930148E12,1.535013466403072E12,7.277815335738171E11,1.8886211228572395E12,5.72928522754248E11
43,1.8009332269772441E12,1.052534192845207E12,1.5586519977783486E12,7.601992119410682E11,1.803631554280664E12,6.022728271056403E11
44,1.846172168332191E12,1.0667994846566E12,1.6181879073720522E12,7.621920435323561E11,1.8317027053174126E12,6.093939774044326E11
45,1.8463359099563484E12,1.306520304698438E12,1.6564609921108618E12,7.946097218996072E11,1.8597738563541611E12,7.884071291802522E11
46,1.9053235568510786E12,1.3718987101643938E12,1.9436253732623696E12,8.270274002668583E11,1.9439873094644067E12,8.18232709948588E11
47,1.9466149096773896E12,1.4207982534285054E12,2.2938258380812812E12,8.594450786341094E11,2.010139807373551E12,8.480582907169238E11
48,1.9918538510323364E12,1.4861766588944612E12,2.3150886629361753E12,8.918627570013605E11,1.799882184854205E12,8.778838714852596E11
49,1.998228891073346E12,1.5004419507058542E12,2.3363514877910693E12,9.242804353686116E11,1.8511986958293748E12,8.779286571829816E11
50,2.0832294249534722E12,1.516741798460558E12,2.3599900191663457E12,9.566981137358627E11,1.9504274426930913E12,8.850498074817739E11
51,2.1603681366481873E12,1.6445929024828716E12,2.4195259287600493E12,9.891157921031138E11,1.9130973075430354E12,9.724252744199716E11
52,2.214365234834488E12,1.6934924457469832E12,2.479061838353753E12,1.0215334704703649E12,1.8693982107619006E12,9.840983756940704E11
53,2.2596041761894346E12,1.6935460937802317E12,2.500324663208647E12,1.053951148837616E12,1.8946875360202327E12,9.912195259928628E11
54,2.265979216230444E12,1.7078113855916248E12,2.521587488063541E12,1.0863688272048671E12,1.960840033929377E12,1.010307784080355E12
55,2.2661429578546016E12,1.7241112333463286E12,2.5452260194388174E12,1.1187865055721182E12,1.7879969269160828E12,1.0174289343791473E12
56,2.483552809533844E12,1.851962337368642E12,2.5688645508140938E12,1.1512041839393691E12,1.7098036191152146E12,1.0472545151474832E12
57,2.635739705709314E12,1.9008618806327537E12,2.6284004604077974E12,1.18362186230662E12,1.775956117024359E12,1.077080095915819E12
58,2.6809786470642607E12,1.9662402860987095E12,2.687936370001501E12,1.216039540673871E12,1.732257020243224E12,1.1069056766841548E12
59,2.7399662939589907E12,1.9805055779101025E12,2.783619081848525E12,1.248457219041122E12,1.7984095181523684E12,1.1367312574524905E12
60,2.781257646785302E12,1.9968054256648064E12,2.7531940754521943E12,1.2562304750758875E12,1.8172708847690696E12,1.1665568382208262E12
61,2.8264965881402485E12,2.1246565296871199E12,2.795719725161983E12,1.2437660039409219E12,1.8429888426588987E12,1.1667760689089756E12
62,2.832871628181258E12,2.1735560729512314E12,2.816982550016877E12,1.2761836823081729E12,1.9438994326897969E12,1.166995299597125E12
